code,name,first_date,last_date,bars
sh688291,金橙子,2022-10-26,2026-09-02,928
sh688289,圣湘生物,2020-08-28,2026-09-02,1458
sh688273,麦澜德,2022-08-11,2026-09-02,985
sh688292,浩瀚深度,2022-08-18,2026-09-02,980
sh688295,中复神鹰,2022-04-06,2026-09-02,1072
sh688298,东方生物,2020-02-05,2026-09-02,1599
sh688296,和达科技,2021-07-27,2026-09-02,1238
sh688297,中无人机,2022-06-29,2026-09-02,1016
sh688301,奕瑞科技,2020-09-18,2026-09-02,1443
sh688305,科德数控,2021-07-09,2026-09-02,1250
sh688299,长阳科技,2019-11-06,2026-09-02,1657
sh688306,均普智能,2022-03-22,2026-09-02,1081
sh688309,恒誉科技,2020-07-14,2026-09-02,1489
sh688303,大全能源,2021-07-22,2026-09-02,1241
sh688300,联瑞新材,2019-11-15,2026-09-02,1650
sh688302,海创药业-U,2022-04-12,2026-09-02,1068
sh688307,中润光学,2023-02-16,2026-09-02,862
sh688311,盟升电子,2020-07-31,2026-09-02,1478
sh688310,迈得医疗,2019-12-03,2026-09-02,1638
sh688313,仕佳光子,2020-08-12,2026-09-02,1461
sh688312,燕麦科技,2020-06-08,2026-09-02,1515
sh688320,禾川科技,2022-04-28,2026-09-02,1056
sh688316,青云科技-U,2021-03-16,2026-09-02,1328
sh688308,欧科亿,2020-12-10,2026-09-02,1390
sh688319,欧林生物,2021-06-08,2026-09-02,1272
sh688314,康拓医疗,2021-05-18,2026-09-02,1287
sh688315,诺禾致源,2021-04-13,2026-09-02,1309
sh688322,奥比中光-W,2022-07-07,2026-09-02,1010
sh688325,赛微微电,2022-04-22,2026-09-02,1060
sh688321,微芯生物,2019-08-12,2026-09-02,1713
sh688323,瑞华泰,2021-04-28,2026-09-02,1298
sh688326,经纬恒润-W,2022-04-19,2026-09-02,1063
sh688327,云从科技-UW,2022-05-27,2026-09-02,1038
sh688318,财富趋势,2020-04-27,2026-09-02,1542
sh688317,之江生物,2021-01-18,2026-09-02,1364
sh688328,深科达,2021-03-09,2026-09-02,1333
sh688332,中科蓝讯,2022-07-15,2026-09-02,1004
sh688329,艾隆科技,2021-03-29,2026-09-02,1319
sh688331,荣昌生物,2022-03-31,2026-09-02,1074
sh688337,普源精电,2022-04-08,2026-09-02,1060
sh688330,宏力达,2020-10-15,2026-09-02,1430
sh688338,赛科希德,2020-08-06,2026-09-02,1474
sh688336,三生国健,2020-07-22,2026-09-02,1485
sh688334,西高院,2023-06-19,2026-09-02,779
sh688335,复洁科技,2020-08-17,2026-09-02,1467
sh688333,铂力特,2019-07-22,2026-09-02,1728
sh688347,华虹宏力,2023-08-07,2026-09-02,736
sh688343,云天励飞-U,2023-04-04,2026-09-02,829
sh688339,亿华通-U,2020-08-10,2026-09-02,1462
sh688345,博力威,2021-06-11,2026-09-02,1269
sh688351,微电生理,2022-08-31,2026-09-02,971
sh688350,富淼科技,2021-01-28,2026-09-02,1351
sh688352,颀中科技,2023-04-20,2026-09-02,818
sh688348,昱能科技,2022-06-08,2026-09-02,1031
sh688349,三一重能,2022-06-22,2026-09-02,1021
sh688357,建龙微纳,2019-12-04,2026-09-02,1637
sh688356,键凯科技,2020-08-26,2026-09-02,1460
sh688360,德马科技,2020-06-02,2026-09-02,1509
sh688355,明志科技,2021-05-12,2026-09-02,1291
sh688353,华盛锂电,2022-07-13,2026-09-02,1006
sh688359,三孚新科,2021-05-21,2026-09-02,1284
sh688365,光云科技,2020-04-29,2026-09-02,1540
sh688361,中科飞测,2023-05-19,2026-09-02,800
sh688358,祥生医疗,2019-12-03,2026-09-02,1638
sh688362,甬矽电子,2022-11-16,2026-09-02,922
sh688366,昊海生科,2019-10-30,2026-09-02,1662
sh688368,晶丰明源,2019-10-14,2026-09-02,1654
sh688363,华熙生物,2019-11-06,2026-09-02,1657
sh688367,工大高科,2021-06-28,2026-09-02,1259
sh688370,丛麟科技,2022-08-25,2026-09-02,975
sh688373,盟科药业-U,2022-08-05,2026-09-02,989
sh688371,菲沃泰,2022-08-02,2026-09-02,992
sh688369,致远互联,2019-10-31,2026-09-02,1661
sh688372,伟测科技,2022-10-26,2026-09-02,937
sh688377,迪威尔,2020-07-08,2026-09-02,1495
sh688379,华光新材,2020-08-19,2026-09-02,1465
sh688375,国博电子,2022-07-22,2026-09-02,999
sh688378,奥来德,2020-09-03,2026-09-02,1454
sh688380,中微半导,2022-08-05,2026-09-02,989
sh688383,新益昌,2021-04-28,2026-09-02,1298
sh688386,泛亚微透,2020-10-16,2026-09-02,1429
sh688376,美埃科技,2022-11-18,2026-09-02,920
sh688382,益方生物-U,2022-07-25,2026-09-02,998
sh688381,帝奥微,2022-08-23,2026-09-02,967
sh688385,复旦微电,2021-08-04,2026-09-02,1232
sh688390,固德威,2020-09-04,2026-09-02,1453
sh688388,嘉元科技,2019-07-22,2026-09-02,1728
sh688391,钜泉科技,2022-09-13,2026-09-02,963
sh688392,骄成超声,2022-09-27,2026-09-02,953
sh688398,赛特新材,2020-02-11,2026-09-02,1595
sh688393,安必平,2020-08-20,2026-09-02,1464
sh688395,正弦电气,2021-04-29,2026-09-02,1297
sh688396,华润微,2020-02-27,2026-09-02,1583
sh688387,信科移动-U,2022-09-26,2026-09-02,954
sh688389,普门科技,2019-11-05,2026-09-02,1658
sh688400,凌云光,2022-07-06,2026-09-02,1011
sh688411,海博思创,2025-01-27,2026-09-02,388
sh688410,山外山,2022-12-26,2026-09-02,894
sh688399,硕世生物,2019-12-05,2026-09-02,1636
sh688403,汇成股份,2022-08-18,2026-09-02,980
sh688408,中信博,2020-08-28,2026-09-02,1458
sh688401,路维光电,2022-08-17,2026-09-02,981
sh688416,恒烁股份,2022-08-29,2026-09-02,973
sh688409,富创精密,2022-10-10,2026-09-02,949
sh688420,美腾科技,2022-12-09,2026-09-02,905
sh688419,耐科装备,2022-11-07,2026-09-02,929
sh688418,震有科技,2020-07-22,2026-09-02,1485
sh688425,铁建重工,2021-06-22,2026-09-02,1263
