date,n_pool,k,sig_long,sig_short
2023-08-19 00:00:00+00:00,172,34,-0.001129871372549019,0.00027822205882352944
2023-08-22 00:00:00+00:00,175,35,-0.0010166927619047615,0.00029827923809523806
2023-08-25 00:00:00+00:00,175,35,-0.002004151333333333,0.0003013129523809525
2023-08-28 00:00:00+00:00,175,35,-0.0024968165714285714,0.00030278400000000017
2023-08-31 00:00:00+00:00,173,34,-0.0019371204901960782,0.00026017872549019625
2023-09-03 00:00:00+00:00,172,34,-0.0014788462745098036,0.000272076568627451
2023-09-06 00:00:00+00:00,173,34,-0.0022093503921568627,0.00026314196078431365
2023-09-09 00:00:00+00:00,176,35,-0.002856722571428571,0.00028871876190476187
2023-09-12 00:00:00+00:00,179,35,-0.003416066095238095,0.00025094771428571457
2023-09-15 00:00:00+00:00,179,35,-0.002930790857142857,0.0002624752380952381
2023-09-18 00:00:00+00:00,179,35,-0.0027733374285714286,0.0002918913333333334
2023-09-21 00:00:00+00:00,179,35,-0.0020520386666666667,0.00028419971428571424
2023-09-24 00:00:00+00:00,178,35,-0.0008446619047619045,0.0002981148571428571
2023-09-27 00:00:00+00:00,179,35,-0.0013798869523809522,0.0002993941904761904
2023-09-30 00:00:00+00:00,176,35,-0.001004926,0.00030000000000000003
2023-10-03 00:00:00+00:00,179,35,-0.0010009567619047623,0.0003001179047619048
2023-10-06 00:00:00+00:00,176,35,-0.00034652076190476195,0.000285428761904762
2023-10-09 00:00:00+00:00,174,34,-0.00037307499999999995,0.00029255696078431384
2023-10-12 00:00:00+00:00,173,34,-0.0006291283333333337,0.0002847448039215687
2023-10-15 00:00:00+00:00,175,35,-0.0003599081904761905,0.0002906135238095239
2023-10-18 00:00:00+00:00,176,35,-0.0004076283809523812,0.00028419085714285715
2023-10-21 00:00:00+00:00,177,35,-0.0005139062857142857,0.0002873520000000002
2023-10-24 00:00:00+00:00,180,36,-0.0011327181481481478,0.00030847222222222213
2023-10-27 00:00:00+00:00,185,37,-0.0011592977477477475,0.00047046630630630644
2023-10-30 00:00:00+00:00,184,36,-5.1198796296296344e-05,0.0005855366666666667
2023-11-02 00:00:00+00:00,186,37,-7.631891891891902e-05,0.0007602329729729732
2023-11-05 00:00:00+00:00,190,38,5.73209649122806e-05,0.0006384208771929828
2023-11-08 00:00:00+00:00,192,38,-0.0004198742982456137,0.000810315263157895
2023-11-11 00:00:00+00:00,199,39,-0.00020496427350427343,0.0010783682905982912
2023-11-14 00:00:00+00:00,201,40,0.00023170908333333332,0.00122808625
2023-11-17 00:00:00+00:00,205,41,0.00019968821138211388,0.000727899756097561
2023-11-20 00:00:00+00:00,207,41,0.00018171959349593496,0.00043680008130081335
2023-11-23 00:00:00+00:00,206,41,-6.87713821138213e-05,0.0003742853658536585
2023-11-26 00:00:00+00:00,208,41,-0.00013734585365853666,0.0004105189430894308
2023-11-29 00:00:00+00:00,208,41,-0.0002466833333333334,0.00038313869918699177
2023-12-02 00:00:00+00:00,211,42,4.042730158730159e-05,0.00042862769841269844
2023-12-05 00:00:00+00:00,214,42,0.0001967004761904762,0.0011020230952380951
2023-12-08 00:00:00+00:00,216,43,0.00029978728682170564,0.0011922545736434108
2023-12-11 00:00:00+00:00,218,43,0.00046247170542635676,0.0013692541085271318
2023-12-14 00:00:00+00:00,218,43,0.00024233821705426381,0.0009888237984496124
2023-12-17 00:00:00+00:00,221,44,0.00016338962121212138,0.0014061042424242424
2023-12-20 00:00:00+00:00,222,44,-0.0001561076515151515,0.0007026723484848484
2023-12-23 00:00:00+00:00,223,44,0.0003111226515151517,0.001634035151515152
2023-12-26 00:00:00+00:00,225,45,0.0004248046666666668,0.0020340980740740744
2023-12-29 00:00:00+00:00,229,45,-0.00011186288888888896,0.0019980840740740744
2024-01-01 00:00:00+00:00,230,46,-0.0013770894927536228,0.001564429130434783
2024-01-04 00:00:00+00:00,229,45,7.635111111111249e-06,0.001293525037037037
2024-01-07 00:00:00+00:00,228,45,-0.0004302497777777778,0.0003301797037037035
2024-01-10 00:00:00+00:00,229,45,-0.0009838477037037037,0.00030738851851851845
2024-01-13 00:00:00+00:00,231,46,0.00015717231884057985,0.0003916605072463767
2024-01-16 00:00:00+00:00,233,46,9.394565217391449e-06,0.00036071608695652154
2024-01-19 00:00:00+00:00,236,47,-0.0003829456028368792,0.0003799769503546097
2024-01-22 00:00:00+00:00,235,47,-0.002305455815602838,0.0003520125531914893
2024-01-25 00:00:00+00:00,233,46,-0.0007804308695652174,0.0003363525362318841
2024-01-28 00:00:00+00:00,232,46,-0.0004451911594202898,0.0003386121014492755
2024-01-31 00:00:00+00:00,231,46,3.561543478260863e-05,0.0003726446376811595
2024-02-03 00:00:00+00:00,226,45,2.1799407407407414e-05,0.00034050488888888897
2024-02-06 00:00:00+00:00,217,43,-0.00018585658914728673,0.0003327741860465116
2024-02-09 00:00:00+00:00,216,43,-0.0009377216279069766,0.0003481631782945738
2024-02-12 00:00:00+00:00,208,41,-4.012959349593491e-05,0.0005437682926829268
2024-02-15 00:00:00+00:00,208,41,1.9257804878048903e-05,0.00146812325203252
2024-02-18 00:00:00+00:00,211,42,0.00015056071428571423,0.0015833294444444442
2024-02-21 00:00:00+00:00,217,43,0.0004435329457364342,0.0014550870542635657
2024-02-24 00:00:00+00:00,223,44,0.00028591590909090935,0.0012913996969696967
2024-02-27 00:00:00+00:00,229,45,0.0006254961481481483,0.002221647925925926
2024-03-01 00:00:00+00:00,233,46,0.0012515339855072463,0.0029726336956521736
2024-03-04 00:00:00+00:00,241,48,0.0017736490972222226,0.0038119296527777784
2024-03-07 00:00:00+00:00,245,49,0.0010949351700680272,0.0026322614965986393
2024-03-10 00:00:00+00:00,248,49,0.001357416054421769,0.0032409678911564624
2024-03-13 00:00:00+00:00,249,49,0.0013028361224489795,0.0026515723809523812
2024-03-16 00:00:00+00:00,250,50,0.0007978333333333334,0.0021425646
2024-03-19 00:00:00+00:00,250,50,0.0001494986666666668,0.0009414609333333333
2024-03-22 00:00:00+00:00,254,50,0.00020429499999999995,0.0008270440666666668
2024-03-25 00:00:00+00:00,255,51,0.0002435066013071897,0.0008745226797385622
2024-03-28 00:00:00+00:00,255,51,0.000598954183006536,0.0018139382352941173
2024-03-31 00:00:00+00:00,256,51,0.0009205456862745098,0.002396459477124183
2024-04-03 00:00:00+00:00,255,51,0.00043899032679738575,0.001221006666666667
2024-04-06 00:00:00+00:00,256,51,0.0002603968627450981,0.0007970698692810459
2024-04-09 00:00:00+00:00,256,51,0.00027719032679738583,0.0009424030065359479
2024-04-12 00:00:00+00:00,259,51,-0.00010766372549019612,0.0007430372549019606
2024-04-15 00:00:00+00:00,258,51,-0.001460622614379085,0.0003071217647058824
2024-04-18 00:00:00+00:00,259,51,-0.0007204523529411764,0.0003056823529411764
2024-04-21 00:00:00+00:00,259,51,-0.000944032614379085,0.0003124718954248366
2024-04-24 00:00:00+00:00,258,51,-0.000730317450980392,0.00031175437908496727
2024-04-27 00:00:00+00:00,258,51,-0.0018102216339869282,0.0003047022875816993
2024-04-30 00:00:00+00:00,258,51,-0.0009591925490196078,0.00029022032679738554
2024-05-03 00:00:00+00:00,260,52,-0.0006465737179487177,0.00029333070512820535
2024-05-06 00:00:00+00:00,260,52,-0.00043722685897435896,0.00031472499999999997
2024-05-09 00:00:00+00:00,262,52,-0.0008231167307692305,0.00031830942307692307
2024-05-12 00:00:00+00:00,262,52,-0.0004223846153846155,0.00031638217948717944
2024-05-15 00:00:00+00:00,260,52,-0.0006068528205128204,0.00032141134615384616
2024-05-18 00:00:00+00:00,255,51,-0.00021947823529411782,0.0003687556209150326
2024-05-21 00:00:00+00:00,252,50,-0.0001787526666666667,0.0003614897333333334
2024-05-24 00:00:00+00:00,250,50,-6.532666666664257e-07,0.0005144670666666666
2024-05-27 00:00:00+00:00,247,49,7.747251700680272e-05,0.000592179931972789
2024-05-30 00:00:00+00:00,249,49,-0.00036080748299319724,0.0006215201360544216
2024-06-02 00:00:00+00:00,249,49,-9.684829931972793e-05,0.0005542414965986394
2024-06-05 00:00:00+00:00,247,49,-0.00021859346938775512,0.0006651714965986393
2024-06-08 00:00:00+00:00,247,49,2.114095238095233e-05,0.0006011140816326529
2024-06-11 00:00:00+00:00,247,49,8.134843537414954e-05,0.00031050761904761906
2024-06-14 00:00:00+00:00,247,49,-3.8389795918367286e-05,0.00032848340136054416
2024-06-17 00:00:00+00:00,250,50,-5.4829133333333096e-05,0.0003488134666666666
2024-06-20 00:00:00+00:00,248,49,-0.0007880759183673471,0.0002984834013605443
2024-06-23 00:00:00+00:00,246,49,-0.0008661951700680271,0.0003029234693877552
2024-06-26 00:00:00+00:00,241,48,-0.0007025585416666665,0.0003223304861111111
2024-06-29 00:00:00+00:00,237,47,-0.0001948321985815604,0.0003293020567375886
2024-07-02 00:00:00+00:00,232,46,-0.00033003478260869556,0.0003090559420289855
2024-07-05 00:00:00+00:00,231,46,-0.0008228039855072464,0.00031488913043478255
